event_id,center_lat,center_lon,start_utc,end_utc,max_edr,mean_edr,n_reports,edr_bin,lat_min,lat_max,lon_min,lon_max
118,42.1384,-94.5725,2022-11-04T18:00:30+00:00,2022-11-04T21:59:40+00:00,0.2,0.1331,39,light,38.891,45.859,-97.851,-90.783
119,43.9868,-96.6197,2022-04-30T03:11:40+00:00,2022-04-30T03:59:30+00:00,0.2,0.1506,32,light,41.225,46.904,-99.882,-92.731
120,47.8438,-64.0673,2022-09-23T00:15:50+00:00,2022-09-23T00:51:00+00:00,0.2,0.1437,28,light,45.304,50.49,-67.203,-60.693
121,37.3217,-88.072,2023-06-14T12:22:00+00:00,2023-06-14T18:21:50+00:00,0.2,0.1364,28,light,34.211,40.103,-92.444,-84.385
122,45.5907,-94.4703,2022-12-13T15:00:40+00:00,2022-12-13T18:29:30+00:00,0.2,0.1362,33,light,43.042,48.61,-98.01,-90.321
123,36.3582,-87.9663,2024-03-08T12:33:10+00:00,2024-03-08T18:31:40+00:00,0.2,0.144,35,light,33.458,39.025,-91.845,-84.398
124,36.6974,-79.226,2022-03-24T12:19:20+00:00,2022-03-24T18:08:00+00:00,0.196,0.1264,31,light,33.223,39.803,-82.384,-75.689
125,57.0426,-33.5581,2024-09-22T12:41:10+00:00,2024-09-22T18:38:00+00:00,0.194,0.1357,32,light,54.061,59.122,-37.003,-29.716
126,47.0588,-49.7423,2022-09-30T00:05:00+00:00,2022-09-30T06:02:00+00:00,0.192,0.1266,46,light,43.45,49.802,-54.245,-45.899
127,51.3305,-17.5008,2022-03-14T03:25:00+00:00,2022-03-14T06:41:00+00:00,0.181,0.1312,28,light,48.998,54.01,-21.083,-13.802
128,35.4253,-78.2108,2022-08-23T21:16:50+00:00,2022-08-24T00:46:30+00:00,0.18,0.1336,28,light,32.803,38.333,-82.156,-75.116
129,32.1762,-82.6968,2023-01-22T15:58:40+00:00,2023-01-22T21:52:50+00:00,0.18,0.1388,33,light,29.088,34.945,-85.483,-79.226
130,32.1249,-82.9189,2020-02-06T21:00:40+00:00,2020-02-07T00:57:00+00:00,0.18,0.1331,55,light,28.154,35.465,-86.876,-79.914
131,37.1069,-85.5325,2020-02-06T00:03:30+00:00,2020-02-06T03:53:00+00:00,0.18,0.1411,37,light,34.092,40.657,-89.141,-82.345
132,55.3756,-35.9611,2023-08-08T03:03:00+00:00,2023-08-08T06:07:00+00:00,0.18,0.1325,41,light,52.506,58.106,-40.925,-31.225
133,36.4735,-82.6322,2023-08-12T15:26:00+00:00,2023-08-12T18:59:40+00:00,0.18,0.1346,31,light,32.896,39.48,-86.374,-79.795
134,31.5934,-82.8232,2021-04-16T15:38:20+00:00,2021-04-16T21:35:10+00:00,0.18,0.1414,28,light,28.989,34.443,-87.577,-80.044
135,51.8338,-21.305,2021-11-30T12:08:00+00:00,2021-11-30T15:29:00+00:00,0.166,0.1306,36,light,49.019,55.11,-25.905,-16.804
136,37.0727,145.1922,2023-05-15T09:00:00+00:00,2023-05-15T09:59:00+00:00,0.161,0.1176,29,light,34.621,39.803,141.789,148.893
137,32.5944,-84.4663,2020-02-06T15:48:20+00:00,2020-02-06T21:39:40+00:00,0.16,0.1329,31,light,29.475,36.298,-88.483,-81.337
138,40.7123,-87.0661,2006-03-09T18:17:00+00:00,2006-03-09T21:48:00+00:00,0.15,0.15,36,light,38.2281,43.5382,-90.8239,-83.0811
139,40.5156,-80.6664,2007-01-15T12:05:00+00:00,2007-01-15T18:04:00+00:00,0.15,0.15,38,light,38.0033,44.4831,-84.8906,-76.6824
140,43.1325,-95.6027,2006-07-21T03:04:00+00:00,2006-07-21T03:59:00+00:00,0.15,0.15,36,light,39.8982,45.9583,-99.3114,-90.9317
141,40.416,-83.2339,2009-10-27T21:12:00+00:00,2009-10-28T00:57:00+00:00,0.15,0.15,52,light,37.7465,43.2731,-86.689,-79.6955
142,42.1118,-94.5252,2010-04-02T15:02:00+00:00,2010-04-02T21:02:00+00:00,0.15,0.15,32,light,38.9482,45.6383,-98.7117,-90.6962
143,42.5063,-96.5799,2007-03-29T15:28:00+00:00,2007-03-29T21:28:00+00:00,0.15,0.15,32,light,40.2395,44.8012,-99.2021,-93.725
144,42.8201,-90.1123,2010-04-05T21:13:00+00:00,2010-04-06T00:41:00+00:00,0.15,0.15,34,light,40.0735,45.3119,-93.0243,-86.8572
145,39.9554,-81.1068,2009-10-27T21:07:00+00:00,2009-10-28T03:04:00+00:00,0.15,0.15,33,light,37.035,43.2713,-84.2091,-77.0308
146,43.3602,-98.4711,2011-02-20T09:14:00+00:00,2011-02-20T09:48:00+00:00,0.15,0.15,29,light,41.0337,45.825,-101.7284,-95.3696
147,39.3162,-97.5596,2006-03-07T21:25:00+00:00,2006-03-08T03:24:00+00:00,0.15,0.15,30,light,36.595,41.8456,-100.6763,-94.5517
148,40.8622,-79.0429,2006-12-23T00:09:00+00:00,2006-12-23T03:50:00+00:00,0.15,0.15,29,light,37.8133,44.8657,-82.6592,-75.0633
149,42.1271,-90.5506,2007-06-10T15:11:00+00:00,2007-06-10T21:05:00+00:00,0.15,0.15,29,light,39.5467,44.5191,-93.889,-86.3667
